link,churn prediction modeling,polish,computer vision,reinforcement learning,forecasting,natural language processing,data platform,crisp-dm,google cloud,aws data services,spark,python,aws,delta lake,anomaly detection,fraud detection,automl,mlops tools,tensorflow,pytorch,java,scala,c++,javascript,r,matlab,docker,azure,critical thinking,leadership skills,problem solving,team player,image processing,artificial intelligence (ai),data science,pattern recognition,dvc,mlflow,flask,airflow,kubernetes,opencv,keras,communication skills,experience in computer vision,experience in natural language processing,experience in data visualization,kafka,influx db,optimization,pandas,numpy,meteorology,cloud,proactivity,data engineering,azureml,kubeflow,fastapi,anliza big data,nlp,gcp,data warehouse,hw/sw analysis and optimization,gpu shader coding,unreal engine 4/unigine,deep learning,ml apis,gpu profiling tools,linux performance tuning,vtune,open gl/open c/vulcan/directx,gpu and cpu performance optimizations and debugging,solid 3d math skills,"video encoding technologies (h264, h265, av1)",gdb,dpd,default rate,ocr,azure analytics,public cloud,bi tools,scikit-learn,etl
https://nofluffjobs.com/pl/job/data-scientist-cleeng-poznan-mrwap791,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-data-scientist-objectivity-remote-sshyneul,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/data-architect-objectivity-remote-c1jn3tzr,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/staff-software-engineer-machine-learning-affirm-remote-bisgnuwj,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/data-scientist-geocomply-warsaw-bcjuvcyj,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/data-scientist-lead-geocomply-warsaw-4jirx4fy,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/sr-software-engineer-machine-learning-affirm-remote-y1dlzhy2,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-ai-engineer-link-group-remote-syih1csv,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-data-scientist-hubquest-remote-pvc8kaiu,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/machine-learning-developer-link-group-remote-qtg3110h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/computer-vision-data-scientist-secret-sauce-partners-remote-chyicyyr,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
